,国证价值,内地消费,中证信息,中证新能,中证医药,沪深300,中证500,中证800,中证1000,国证A指
date,399371.SZ,000942.SH,000935.SH,399808.SZ,000933.SH,000300.SH,000905.SH,000906.SH,000852.SH,399317.SZ
2012/8/22,,,,,,0.010285714,0.074742857,0.017371429,,0.029714286
2012/8/23,,,,,,0.011885714,0.076571429,0.018514286,,0.033828571
2012/8/24,,,,,,0.005257143,0.052571429,0.0096,,0.018514286
2012/8/27,,,,,,0.004342857,0.0368,0.008,,0.013257143
2012/8/28,,,,,,0.005485714,0.0416,0.008914286,,0.016
2012/8/29,,,,,,0.004114286,0.042742857,0.008228571,,0.0144
2012/8/30,,,,,,0.004571429,0.035657143,0.005942857,,0.012571429
2012/8/31,,,,,,0.002971429,0.0384,0.005942857,,0.0128
2012/9/3,,,,,,0.005257143,0.049142857,0.010285714,,0.018057143
2012/9/4,,,,,,0.002285714,0.040685714,0.005485714,,0.012571429
2012/9/5,,,,,,0.002057143,0.044571429,0.005485714,,0.012571429
2012/9/6,,,,,,0.005942857,0.057371429,0.009828571,,0.020114286
2012/9/7,,,,,,0.028114286,0.094171429,0.033371429,,0.047314286
2012/9/10,,,,,,0.032914286,0.115657143,0.038171429,,0.056457143
2012/9/11,,,,,,0.0272,0.112228571,0.032914286,,0.050514286
2012/9/12,,,,,,0.030857143,0.126171429,0.037257143,,0.056457143
2012/9/13,,,,,,0.023085714,0.106742857,0.0288,,0.044114286
2012/9/14,,,,,,0.037257143,0.1248,0.04,,0.057142857
2012/9/17,,,,,,0.022628571,0.096457143,0.026514286,,0.035428571
2012/9/18,,,,,,0.016457143,0.080228571,0.019657143,,0.028571429
2012/9/19,,,,,,0.018971429,0.089828571,0.0224,,0.030857143
2012/9/20,,,,,,0.008457143,0.056914286,0.012114286,,0.017371429
2012/9/21,,,,,,0.007314286,0.046628571,0.010971429,,0.015771429
2012/9/24,,,,,,0.010971429,0.052114286,0.0144,,0.019428571
2012/9/25,,,,,,0.007314286,0.044114286,0.010514286,,0.015542857
2012/9/26,,,,,,0.002285714,0.0304,0.003657143,,0.006857143
2012/9/27,,,,,,0.021942857,0.041371429,0.021485714,,0.023542857
2012/9/28,,,,,,0.029257143,0.057828571,0.0304,,0.036114286
2012/10/8,,,,,,0.027657143,0.060114286,0.029257143,,0.033371429
2012/10/9,,,,,,0.046171429,0.094171429,0.045942857,,0.053714286
2012/10/10,,,,,,0.049142857,0.1072,0.049828571,,0.0592
2012/10/11,,,,,,0.038628571,0.089371429,0.039314286,,0.047314286
2012/10/12,,,,,,0.040685714,0.081371429,0.038628571,,0.047771429
2012/10/15,,,,,,0.035885714,0.072457143,0.034971429,,0.041828571
2012/10/16,,,,,,0.037942857,0.081142857,0.037942857,,0.045485714
2012/10/17,,,,,,0.044342857,0.089142857,0.044571429,,0.051428571
2012/10/18,,,,,,0.060342857,0.111542857,0.060571429,,0.069942857
2012/10/19,,,,,,0.058971429,0.113371429,0.059657143,,0.068114286
2012/10/22,,,,,,0.063085714,0.119085714,0.063771429,,0.072685714
2012/10/23,,,,,,0.050742857,0.107657143,0.048914286,,0.059428571
2012/10/24,,,,,,0.048914286,0.1072,0.047085714,,0.056914286
2012/10/25,,,,,,0.042057143,0.099428571,0.042057143,,0.049142857
2012/10/26,,,,,,0.027428571,0.077485714,0.027428571,,0.031542857
2012/10/29,,,,,,0.023771429,0.077028571,0.024228571,,0.026742857
2012/10/30,,,,,,0.0256,0.087542857,0.025828571,,0.029028571
2012/10/31,,,,,,0.026285714,0.094857143,0.027657143,,0.0304
2012/11/1,,,,,,0.0416,0.1248,0.042971429,,0.049142857
2012/11/2,,,,,,0.047314286,0.132342857,0.048,,0.054171429
2012/11/5,,,,,,0.045257143,0.124342857,0.045714286,,0.050514286
2012/11/6,,,,,,0.040685714,0.112228571,0.040914286,,0.045257143
2012/11/7,,,,,,0.039085714,0.105142857,0.038628571,,0.042057143
2012/11/8,,,,,,0.027657143,0.075885714,0.026742857,,0.0256
2012/11/9,,,,,,0.026971429,0.0704,0.024457143,,0.023771429
2012/11/12,,,,,,0.032685714,0.077485714,0.032,,0.032
2012/11/13,,,,,,0.0192,0.049828571,0.016914286,,0.016685714
2012/11/14,,,,,,0.021257143,0.050742857,0.019657143,,0.018514286
2012/11/15,,,,,,0.013257143,0.032685714,0.011428571,,0.011657143
2012/11/16,,,,,,0.008914286,0.029028571,0.009142857,,0.009371429
2012/11/19,,,,,,0.008457143,0.029257143,0.008228571,,0.009828571
2012/11/20,,,,,,0.008457143,0.027885714,0.008228571,,0.009142857
2012/11/21,,,,,,0.015085714,0.037714286,0.014628571,,0.015771429
2012/11/22,,,,,,0.012571429,0.029714286,0.012114286,,0.013028571
2012/11/23,,,,,,0.017828571,0.034514286,0.016914286,,0.016685714
2012/11/26,,,,,,0.014628571,0.029028571,0.013028571,,0.013485714
2012/11/27,,,,,,0.012114286,0.016914286,0.010514286,,0.010057143
2012/11/28,,,,,,0.010057143,0.013028571,0.007314286,,0.007542857
2012/11/29,,,,,,0.006171429,0.009828571,0.004114286,,0.003885714
2012/11/30,,,,,,0.0112,0.0144,0.007542857,,0.008914286
2012/12/3,,,,,,0.006628571,0.008914286,0.004114286,,0.003885714
2012/12/4,,,,,,0.013028571,0.0144,0.009371429,,0.009828571
2012/12/5,,,,,,0.037714286,0.026971429,0.030171429,,0.023542857
2012/12/6,,,,,,0.036571429,0.026742857,0.0288,,0.023085714
2012/12/7,,,,,,0.0544,0.0384,0.0432,,0.036114286
2012/12/10,,,,,,0.063542857,0.053028571,0.054857143,,0.045028571
2012/12/11,,,,,,0.059885714,0.047771429,0.0512,,0.042285714
2012/12/12,,,,,,0.0656,0.049371429,0.054857143,,0.045257143
2012/12/13,,,,,,0.0544,0.034514286,0.042971429,,0.035885714
2012/12/14,,,,,,0.109714286,0.0784,0.098742857,,0.083428571
2012/12/17,,,,,,0.114057143,0.087542857,0.104,,0.090285714
2012/12/18,,,,,,0.116571429,0.085257143,0.106057143,,0.091885714
2012/12/19,,,,,,0.118171429,0.094857143,0.109485714,,0.0976
2012/12/20,,,,,,0.1232,0.101257143,0.114742857,,0.1024
2012/12/21,,,,,,0.113371429,0.099428571,0.106742857,,0.096914286
2012/12/24,,,,,,0.116114286,0.1088,0.111085714,,0.103771429
2012/12/25,,,,,,0.148114286,0.140571429,0.142628571,,0.136914286
2012/12/26,,,,,,0.1504,0.159771429,0.146514286,,0.143085714
2012/12/27,,,,,,0.145142857,0.148114286,0.139657143,,0.136228571
2012/12/28,,,,,,0.159085714,0.1648,0.153828571,,0.150857143
2012/12/31,,,,,,0.174171429,0.182857143,0.168457143,,0.165257143
